#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
EVTDESC_RIP_11041_4;Когда [FromFrom.GetTitledFirstName] вош[FromFrom.GetLaYol] в м[Root.GetMyChamberACC], запах был невыносимым. Похоже, причиной его был горшок, в [FromFrom.GetHersHis] руках, как [FromFrom.GetSheHe] вырази[FromFrom.GetLasLsya]: "Смесь коровьего навоза и целебных трав для припарок, [Root.PrimaryTitle.GetFOA]". А когда [FromFrom.GetSheHe] начал[FromFrom.GetEndA] наносить её на моё тело, меня чуть не стошнило.;x
EVTDESC_RIP_11041_5;[FromFrom.GetTitledFirstName] показал[FromFrom.GetEndA] Вам обугленные останки кошки прежде чем закопать их. А за едой, [FromFrom.GetSheHe] рассказал[FromFrom.GetEndA], как [FromFrom.GetSheHe] гоня[FromFrom.GetLasLsya] за этой "мохнатой бестией" часами, чтобы поймать. Кажется, [FromFrom.GetSheHe] ждал[FromFrom.GetEndA] от Вас похвалы за свой труд, но жуткий привкус мяса не давал Вам открыть рот.;x
EVTDESC_RIP_11041_6;[FromFrom.GetTitledFirstName] притащил[FromFrom.GetEndA] квакающее ведро в м[Root.GetMyChamberACC] и велел[FromFrom.GetEndA] оголить верхнюю часть туловища. Достав из ведра жабу, [FromFrom.GetSheHe] раздавил[FromFrom.GetEndA] её голыми руками и уложил всё ещё дёргающуюся тушку на моей груди. [FromFrom.GetSheHeCap] делал[FromFrom.GetEndA] это снова и снова, пока ведро не опустело, а мой торс не покрылся этим месивом.;x
EVTDESC_RIP_11041_7;[FromFrom.GetTitledFirstName] предложил[FromFrom.GetEndA] Вам выпить какое-то желтоватое зелье, предварительно зажав нос. Когда тёплая жидкость попала Вам в рот, Вы тут же выплюнули её, потребовав объяснить, что это такое. Оказалось, это свежая моча беременной свиньи.;x
EVTDESC_RIP_11041_8;[FromFrom.GetTitledFirstName] запустил[FromFrom.GetEndA] свою руку в ведро, которое принес[FromFrom.GetNoneE] с собой в м[Root.GetMyChamberACC]. Вытащив оттуда маленькую рыбку, [FromFrom.GetSheHe] попросил[FromFrom.GetEndA] меня проглотить её. Мне чудом удалось сдержать рвотные позывы, когда она трепыхалась у меня в глотке.;x
EVTDESC_RIP_11041_13;[FromFrom.GetTitledFirstName] принес[FromFrom.GetNoneE] Вам отвар из крушины и сенны. Сначала Вы подумали, что зелье бесполезно, но позже тем же днём, проведя немало времени в уборной, Вы поняли, в чём подвох. [FromFrom.GetFirstName] объяснил[FromFrom.GetEndA] это важностью "очищения от шлаков".;x
EVTDESC_RIP_11042_1;[FromFrom.GetTitledFirstName] заверил[FromFrom.GetEndA] Вас, что сон - лучшее лекарство. [FromFrom.GetSheHeCap] принес[FromFrom.GetNoneE] мягкие подушки и одеяла, а затем, уложив Вас в постель средь бела дня, зашторил[FromFrom.GetEndA] занавески.;x
EVTDESC_RIP_11042_2;[FromFrom.GetTitledFirstName] объяснил[FromFrom.GetEndA] Ваш недуг неправильным питанием. Чтобы укрепить Ваше тело, [FromFrom.GetSheHe] велел[FromFrom.GetEndA] Вам в течение двух недель употреблять только сырые овощи и травяные настои. Дабы не соблазнять Вас изысканными угощениями, [FromFrom.GetSheHe] распоряди[FromFrom.GetLasLsya] убрать их подальше от Ваших глаз.;x
EVTDESC_RIP_11042_3;[FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам лечь в постель и вытянуть руки. Потирая и шлёпая Ваши ладони, [FromFrom.GetSheHe] дожда[FromFrom.GetLasLsya], пока они покраснеют, и приня[FromFrom.GetLasLsya] проделывать то же самое со ступнями. Завершающим штрихом стало пощипывание оставшихся частей тела.;x
EVTDESC_RIP_11042_4;[FromFrom.GetTitledFirstName] предложил[FromFrom.GetEndA] Вам прозрачное зелье в позолоченном флаконе. Попробовав его, Вы не смогли обнаружить ни вкуса не запаха, а когда спросили, что это, [FromFrom.GetSheHe] лишь сказал[FromFrom.GetEndA], что это секретный рецепт.;x
EVTDESC_RIP_11046_COUGH_1;[FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам горячего козьего молока, чтобы избавить Вас от кашля.;x
EVTDESC_RIP_11046_COUGH_2;[FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам полоскать горло настоем корня солодки и тимьяна, чтобы избавиться от кашля.;x
EVTDESC_RIP_11046_COUGH_3;[FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам дышать над котлом с кипящей водой, чтобы избавиться от кашля.;x
EVTDESC_RIP_11046_DIARRHEA_1;[FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам избегать жирной и пряной пищи, чтобы избавиться от диареи.;x
EVTDESC_RIP_11046_DIARRHEA_2;[FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам отвар ромашки, чтобы избавить Вас от диареи.;x
EVTDESC_RIP_11046_DIARRHEA_3;[FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам есть по десять яблок в день, чтобы избавится от диареи.;x
EVTDESC_RIP_11046_FATIGUE_1;[FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам есть побольше пряной пищи, чтобы бороться с чувством слабости.;x
EVTDESC_RIP_11046_FATIGUE_2;[FromFrom.GetTitledFirstName] натёр[FromFrom.GetNoneE] Ваши ладони и ступни листьями перечной мяты, чтобы облегчить чувство слабости.;x
EVTDESC_RIP_11046_FATIGUE_3;Чтобы избавить Вас от слабости, [FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам макового молока. Это должно помочь Вам как следует выспаться.;x
EVTDESC_RIP_11046_HEADACHE_1;Чтобы избавить Вас от головной боли, [FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам чашку с чем-то, что выглядело, как горячая вода с красными хлопьями, и велел[FromFrom.GetEndA] выпить.;x
EVTDESC_RIP_11046_HEADACHE_2;Чтобы избавить Вас от головной боли, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам полежать и отдохнуть несколько часов.;x
EVTDESC_RIP_11046_HEADACHE_3;[FromFrom.GetTitledFirstName] наполнил[FromFrom.GetEndA] Ваши подушки сушеными побегами лаванды и перечной мяты, в надежде, что это поможет Вам от головной боли.;x
EVTDESC_RIP_11046_CHESTPAIN_1;[FromFrom.GetTitledFirstName] переставил[FromFrom.GetEndA] Вашу мебель. "Постель, ориентированная на восток, должна облегчить Вашу боль", — невозмутимо сказал[FromFrom.GetEndA] [FromFrom.GetSheHe].;x
EVTDESC_RIP_11046_CHESTPAIN_2;[FromFrom.GetTitledFirstName] запер[FromFrom.GetNoneE] Вас в [Root.GetChamberPREP] вместе с маленькой ящерицей, заявив, что когда она умрёт, Ваши боли должны ослабнуть.;x
EVTDESC_RIP_11046_CHESTPAIN_3;От боли в груди [FromFrom.GetTitledFirstName] посоветовал[FromFrom.GetEndA] Вам спать, не закрывая [Root.GetChamberOpening]. "Это позволит духам войти", — объяснил[FromFrom.GetEndA] [FromFrom.GetSheHe].;x
EVTDESC_RIP_11046_RASH_1;[FromFrom.GetTitledFirstName] покрыл[FromFrom.GetEndA] Вашу постель сырой травой и велел[FromFrom.GetEndA] спать на ней, чтобы избавиться от сыпи.;x
EVTDESC_RIP_11046_RASH_2;[FromFrom.GetTitledFirstName] сурово посмотрел[FromFrom.GetEndA] на Вас и сказал[FromFrom.GetEndA]: "Не забывайте, делать эту припарку каждую ночь. Одной лишь верой в [Root.GetReligionHighGodACC] Вы не вылечите сыпь".;x
EVTDESC_RIP_11046_RASH_3;[FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам горшок с мазью из козьего молока и свиного жира, чтобы лечить Вашу сыпь.;x
EVTDESC_RIP_11046_ABDOMINALPAIN_1;Чтобы избавить Вас от боли в животе, [FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам мешочек с куриными косточками, чтобы носить его на шее. "Отгоняет злых духов", — пояснил[FromFrom.GetEndA] [FromFrom.GetSheHe].;x
EVTDESC_RIP_11046_ABDOMINALPAIN_2;Чтобы избавить Вас от боли, [FromFrom.GetTitledFirstName] нанес[FromFrom.GetNoneE] странно пахнущее масло Вам на живот и велел[FromFrom.GetEndA] повторять эту процедуру каждое утро.;x
EVTDESC_RIP_11046_ABDOMINALPAIN_3;Чтобы избавить Вас от боли, [FromFrom.GetTitledFirstName] массировал[FromFrom.GetEndA] Ваш живот около часа.;x
EVTDESC_RIP_11046_VOMITING_1;Чтобы вылечить Вашу рвоту, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам спать с желудем под подушкой.;x
EVTDESC_RIP_11046_VOMITING_2;Чтобы вылечить Вашу рвоту, [FromFrom.GetTitledFirstName] распоряди[FromFrom.GetLasLsya] натересть благовониями всех слуг при дворе. "Они просто грязные, [Root.PrimaryTitle.GetFOA], в этом всё дело" — спокойно объяснил[FromFrom.GetEndA] [FromFrom.GetSheHe].;x
EVTDESC_RIP_11046_VOMITING_3;Чтобы вылечить Вашу рвоту, [FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам настой из луковиц какого-то редкого растения и велел[FromFrom.GetEndA] принимать его после еды.;x
EVTDESC_RIP_11046_MALAISE_1;Чтобы справиться с Вашим недомоганием, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам меньше волноваться и поручить свои дела кому-нибудь.;x
EVTDESC_RIP_11046_MALAISE_2;[FromFrom.GetTitledFirstName] сказал[FromFrom.GetEndA] Вам, что велел[FromFrom.GetEndA] своему ассистенту посадить лук, и пока не появится первый росток, втирать особую мазь, рассчитывая, что это поможет при Вашем недомогании.;x
EVTDESC_RIP_11046_MALAISE_3;Чтобы избавиться от недомогания, [FromFrom.GetTitledFirstName] рекомендует Вам есть побольше жирной и пряной пищи.;x
EVTDESC_RIP_11046_CRAMPS_1;Чтобы избавиться от судорог, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам постоять в ведре с тёплой водой, пока кожа на пальцах ног не сморщится.;x
EVTDESC_RIP_11046_CRAMPS_2;[FromFrom.GetTitledFirstName] дал[FromFrom.GetEndA] Вам кусок блестящего металла и велел[FromFrom.GetEndA] на ночь держать его во рту не меньше часа, чтобы вылечить Ваши судороги.;x
EVTDESC_RIP_11046_CRAMPS_3;Чтобы ослабить симптомы Ваших судорог, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам натирать руки и ноги уксусом утром и вечером.;x
EVTDESC_RIP_11046_FEVER_1;[FromFrom.GetTitledFirstName] поместил[FromFrom.GetEndA] Ваши ноги в таз с холодной водой, чтобы ослабить лихорадку.;x
EVTDESC_RIP_11046_FEVER_2;Жидкость в чаше была тёплой и кислой. "Её тепло заберёт Вас жар с собой", — объяснил[FromFrom.GetEndA] [FromFrom.GetTitledFirstName].;x
EVTDESC_RIP_11046_FEVER_3;Чтобы справиться с Вашей лихорадкой, [FromFrom.GetTitledFirstName] обернул[FromFrom.GetEndA] мокрыми бинтами Ваше тело.;x
EVTDESC_RIP_11046_GENERAL_1;[FromFrom.GetTitledFirstName] настоял[FromFrom.GetEndA], что Вы будете чувствовать себя гораздо лучше, если восстановите баланс жидкостей, и лучший способ это сделать - кровопускание.;x
EVTDESC_RIP_11046_GENERAL_2;Чтобы привести Ваши жидкости к равновесию, [FromFrom.GetTitledFirstName] заставил[FromFrom.GetEndA] Вас бегать на свежем воздухе до изнеможения, пока Вы не вспотели.;x
EVTDESC_RIP_11046_GENERAL_3;Чтобы привести Ваши жидкости к равновесию, [FromFrom.GetTitledFirstName] заставил[FromFrom.GetEndA] Вас пить солёную воду, пока Вас не вырвало.;x
EVTDESC_RIP_11046_GENERAL_5;Чтобы болезнь покинула Вас, [FromFrom.GetTitledFirstName] покрыл[FromFrom.GetEndA] Ваше тело с ног до головы пиявками.;x
EVTDESC_RIP_11046_GENERAL_6;Чтобы исцелиться от самых страшных недугов, [FromFrom.GetTitledFirstName] рекомендовал[FromFrom.GetEndA] Вам проводить больше времени в молитвах.;x
EVTDESC_RIP_11046_GENERAL_7;Чтобы укрепить Ваше здоровье, [FromFrom.GetTitledFirstName] рекомендовал[FromFrom.GetEndA] Вам употреблять то, что сделало Вас крепче в Ваши первые дни, снабдив полными кувшинами с человеческим грудным молоком.;x
EVTDESC_RIP_11046_GENERAL_8;[FromFrom.GetTitledFirstName] сказал[FromFrom.GetEndA], что мерзкие запахи цивилизации делают Вас больн[Root.GetOyYm], и велел[FromFrom.GetEndA] больше гулять на природе.;x
EVTDESC_RIP_11046_GENERAL_9;[FromFrom.GetTitledFirstName] уверен[FromFrom.GetEndA], что моё плохое самочувствие вызвано избытком смеха. [FromFrom.GetSheHeCap] рекомендовал[FromFrom.GetEndA] мне запретить другим рассказавать шутки и принес[FromFrom.GetEndA] скучные книги в м[Root.GetMyChamberACC].;x
EVTDESC_RIP_11046_GENERAL_10;Чтобы избавиться от болезней, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам спать подвешенн[Root.GetOyYm] вниз головой несколько дней. "Это вернёт Вам равновесие", — заверил[FromFrom.GetEndA] [FromFrom.GetSheHe] Вас.;x
EVTDESC_RIP_11046_GENERAL_11;Чтобы облегчить Ваши симптомы, [FromFrom.GetTitledFirstName] посоветова[FromFrom.GetLasLsya] со звёздами, прежде чем сделать надрез и взять пару пинт Вашей крови.;x
EVTDESC_RIP_11046_GENERAL_12;Чтобы облегчить Вашу боль, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] Вам аккуратно записать имена всех Ваших врагов, и, пока никто не видит, бросить пергамент в огонь.;x
EVTDESC_RIP_11046_GENERAL_13;Чтобы облегчить Вашу боль, [FromFrom.GetTitledFirstName] велел[FromFrom.GetEndA] зажечь три свечи и взять [FromFrom.GetHersHis] за руки. Помолчав немного, [FromFrom.GetSheHe] попросил[FromFrom.GetEndA] Вас повторять за н[FromFrom.GetEyIm] слова на непонятном Вам языке.;x
EVTDESC_RIP_11046_GENERAL_14;[FromFrom.GetTitledFirstName] много часов наблюдал[FromFrom.GetEndA] за звёздами, а затем сказал[FromFrom.GetEndA], что если Вы хотите чувствовать себя лучше, Вам нужно поститься в течение полутора недель.;x
EVTDESC_RIP_11046_GENERAL_15;[FromFrom.GetTitledFirstName] привязал[FromFrom.GetEndA] Вас к стулу и заставил[FromFrom.GetEndA] спать в этом положении несколько дней.;x
EVTDESC_RIP_11046_GENERAL_16;[FromFrom.GetTitledFirstName] ночами не давал[FromFrom.GetEndA] Вам спать, заставляя вместе с н[FromFrom.GetEyIm] смотреть на звезды. "Это, чтобы восстановить связь с луной", — пояснил[FromFrom.GetEndA] [FromFrom.GetSheHe].;x
EVTOPTA_RIP_11040;Но теперь я чувствую себя превосходно!;x
EVTOPTB_RIP_11040;Нельзя было [FromFrom.GetHerHim] доверять.;x
EVTOPTC_RIP_11040;Лечение помогло, но я заплатил[Root.GetEndA] высокую цену...;x
EVTOPTD_RIP_11040;Будь ты проклят[FromFrom.GetEndA], [FromFrom.GetTitledFirstName]!;x
EVTOPTA_RIP_11041;Мне явно полегчало.;x
EVTOPTB_RIP_11041;Наверное, не надо было соглашаться на это...;x
EVTOPTA_RIP_11042;Ну вроде как мне получше.;x
EVTOPTB_RIP_11042;Надо было соглашаться на нормальное лечение...;x
EVTOPTA_RIP_11046;Я рад[Root.GetEndA], что нанял[Root.GetEndA] [FromFrom.GetHersHis].;x
EVTOPTB_RIP_11046;Не уверен[Root.GetEndA], что это помогло.;x
has_typhus;Болеет тифом;x
has_tuberculosis;Страдает от чахотки;x
has_bubonic_plague;Заражен[_] чумой!;x #GetEndA_TT
has_measles;Болеет корью;x
has_small_pox;Болеет оспой;x
EVTDESC_RIP_10015;Чума свирепствует в Индии, от долин северных рек до Канниякумари, самой южной её точки. Поначалу люди искали убежища в храмах, но теперь они пришли в запустение, и лишь трупы застыли в поклоне богам. Тела, распухшие до неузнаваемости, плывут по Гангу.;x
EVTDESC_RIP_10018;Смерть гуляет по Африке. Почерневшие тела разлагаются под солнцем и стоит невыносимая вонь. Многие жители покинули крупные поселения, но эпидемия распространяется через тела, плывущие вниз по течениям Нила и Нигера.;x
EVTDESC_RIP_10021;Паника нарастает по мере того, как чума пожинает свой урожай по всей Южной Европе. Люди всех сословий, знать и простолюдины, собираются в храмах, чтобы молиться. Даже великий Рим усеян трупами, и многие боятся, что это наказание за людские грехи.;x
EVTDESC_RIP_10023;Даже в самых отдаленных частях мира более небезопасно – чума поразила Северную Европу. Горожане в страхе покинули свои дома и улицы обезлюдели. Несмотря на суровый карантин в гаванях, множество кораблей-призраков зловеще дрейфуют по Балтийскому морю.;x
EVTDESC_RIP_10024;Больше никто может быть в безопасности. Чума гуляет по Великой Степи, собирая свой кровавый урожай. Торговля пришла в упадок из-за того, что зараза разлетелась по северному маршруту Шёлкового Пути. Племена уходят в дикую местность, в отчаянии пытаясь сбежать от эпидемии, оставляя за собой шлейф из мёртвых тел.;x
INSULT_LIMPING;Хромоног[This.GetAyaIy];x
INSULT_MAIMED;Изувеченн[This.GetAyaYy];x
INSULT_HEINOUS;Гнусн[This.GetAyaYy];x
INSULT_SICKLY;Тщедушн[This.GetAyaYy];x
INSULT_INVALID;Немощн[This.GetAyaYy];x
INSULT_MANIAC;манья[This.GetChkaK];x
INSULT_RABID;Взбесивш[This.GetAyaIy]ся;x
INSULT_PUTRID;Подгнивш[This.GetAyaIy];x
INSULT_WITHERING;Трухляв[This.GetAyaYy];x
INSULT_POX_RIDDEN;Струпн[This.GetAyaYy];x
nick_the_hideous;Отвратительн[This.GetAyaYy];x
DEATH_EXECUTION_CRUSHING;[This.GetHersHis] раздавили, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_CRUSHING_NO_KILLER;[This.GetHersHis] раздавили;x
DEATH_EXECUTION_ASH;[This.GetHersHis] задушили пеплом, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_ASH_NO_KILLER;[This.GetHersHis] задушили пеплом;x
DEATH_EXECUTION_BURNING;[This.GetHersHis] сожгли на костре, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BURNING_NO_KILLER;[This.GetHersHis] сожгли на костре;x
DEATH_EXECUTION_HDQ;[This.GetHersHis] подвергли четвертованию, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_HDQ_NO_KILLER;[This.GetHersHis] подвергли четвертованию;x
DEATH_EXECUTION_BEAR;[This.GetHersHis] задрал медведь, приказ о казни отдал[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BEAR_NO_KILLER;[This.GetHersHis] задрал медведь;x
DEATH_EXECUTION_SNAKE_PIT;[This.GetSheHe] погиб[This.GetNoneE] в змеиной яме, в которую велел[This.Killer.GetEndA] [This.GetHersHis] бросить $KILLER$;x
DEATH_EXECUTION_SNAKE_PIT_NO_KILLER;[This.GetSheHe] погиб[This.GetNoneE] в змеиной яме;x
DEATH_EXECUTION_DISEMBOWELMENT;[This.GetHerHim] выпустили кишки, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_DISEMBOWELMENT_NO_KILLER;[This.GetHerHim] выпустили кишки;x
DEATH_EXECUTION_BOILING;[This.GetHersHis] сварили заживо, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BOILING_NO_KILLER;[This.GetHersHis] сварили заживо;x
DEATH_EXECUTION_SAWING;[This.GetHersHis] распилили пополам, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_SAWING_NO_KILLER;[This.GetHersHis] распилили пополам;x
DEATH_EXECUTION_HUNT;[This.GetHersHis] загнали, как зверя и убили на охоте. Убийца - $KILLER$;x
DEATH_EXECUTION_HUNT_NO_KILLER;[This.GetHersHis] загнали, как зверя и убили на охоте;x
DEATH_EXECUTION_LIVE_BURIAL;[This.GetHersHis] похоронили заживо, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_LIVE_BURIAL_NO_KILLER;[This.GetHersHis] похоронили заживо;x
DEATH_EXECUTION_HANGING;[This.GetHersHis] повесили, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_HANGING_NO_KILLER;[This.GetHersHis] повесили;x
DEATH_EXECUTION_IMMUREMENT;[This.GetHersHis] замуровали живьём, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_IMMUREMENT_NO_KILLER;[This.GetHersHis] замуровали живьём;x
DEATH_EXECUTION_BEHEADING;[This.GetHersHis] обезглавили, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BEHEADING_NO_KILLER;[This.GetHerHim] отрубили голову;x
DEATH_EXECUTION_WINE;[This.GetHersHis] утопили в вине, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_WINE_NO_KILLER;[This.GetHersHis] утопили в вине;x
DEATH_EXECUTION_POISON;[This.GetHersHis] отравили, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_POISON_NO_KILLER;[This.GetHersHis] отравили;x
DEATH_EXECUTION_FLAYING;[This.GetHerHim] заживо содрали кожу, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_FLAYING_NO_KILLER;[This.GetHerHim] заживо содрали кожу;x
DEATH_EXECUTION_IMPALING;[This.GetHersHis] посадили на кол, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_IMPALING_NO_KILLER;[This.GetHersHis] посадили на кол;x
DEATH_EXECUTION_TIGER;[This.GetHersHis] бросили на съедение тигру, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_TIGER_NO_KILLER;[This.GetHersHis] растерзал тигр;x
DEATH_EXECUTION_ELEPHANTS;[This.GetHersHis] растоптали слоны, приказ о казни отдал[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_ELEPHANTS_NO_KILLER;[This.GetHersHis] растоптали слоны;x
DEATH_EXECUTION_BAMBOO;cквозь [This.GetHersHis] тело прорастили бамбук, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BAMBOO_NO_KILLER;cквозь [This.GetHersHis] тело прорастили бамбук;x
DEATH_EXECUTION_STONING;[This.GetHersHis] забили камнями, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_STONING_NO_KILLER;[This.GetHersHis] забили камнями;x
DEATH_EXECUTION_CRUCIFIXION;[This.GetHersHis] распяли, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_CRUCIFIXION_NO_KILLER;[This.GetHersHis] распяли;x
DEATH_EXECUTION_BLOOD_EAGLE;$KILLER$ сделал[This.Killer.GetEndA] из н[This.GetHersHis] кровавого орла;x
DEATH_EXECUTION_BLOOD_EAGLE_NO_KILLER;[This.GetSheHe] был[This.GetEndA] казнен[This.GetEndA] - из н[This.GetHersHis] сделали кровавого орла;x
DEATH_EXECUTION_SCAPHISM;[This.GetHersHis] казнили методом скафизма, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_SCAPHISM_NO_KILLER;cкафизм стал [This.GetHersHis] казнью;x
DEATH_EXECUTION_DROWNING_PIT;[This.GetHersHis] утопили в грязи, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_DROWNING_PIT_NO_KILLER;[This.GetSheHe] погиб[This.GetNoneE] в яме для утопления;x
DEATH_EXECUTION_GARROTTING;[This.GetHersHis] казнили на гарроте, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_GARROTTING_NO_KILLER;[This.GetHersHis] казнили на гарроте;x
DEATH_EXECUTION_HORSES;[This.GetHersHis] растоптали лошади, приказ о казни отдал[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_HORSES_NO_KILLER;[This.GetHersHis] растоптали лошади;x
DEATH_EXECUTION_BACK_BREAKING;[This.GetHerHim] сломали спину, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BACK_BREAKING_NO_KILLER;[This.GetHerHim] сломали спину;x
DEATH_EXECUTION_WHEEL;[This.GetHersHis] колесовали, как повелел[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_WHEEL_NO_KILLER;[This.GetHersHis] колесовали;x
DEATH_EXECUTION_BOAR;kабан забодал [This.GetHersHis] до смерти, приказ о казни отдал[This.Killer.GetEndA] $KILLER$;x
DEATH_EXECUTION_BOAR_NO_KILLER;kабан забодал [This.GetHersHis] до смерти;x
opinion_took_my_advice;Внял[___] моему совету;x #[From.GetEndA]`
opinion_did_not_take_my_advice;Не внял[___] моему совету;x #[From.GetEndA]`
opinion_did_not_trust_me;Не доверяет мне;x
nick_the_youthful;Вечномолод[This.GetAyaOy];x
nick_the_alchemist;Алхимик;x
EVTOPTA_RIP_21013;Что ж, давайте послушаем её.;x
EVTDSC_RIP_21019_INTRIGUE_A;Старая женщина сказала, что её зовут [From.GetFirstName], и поведала Вам о благородном искусстве алхимии. Она утверждает, что обладает тайным знанием трансмутации и может не только превращать металлы в золото, но и создавать нечто под названием "алкагест". Более важно то, что она рассказала Вам о загадочном Философском камне, который дарует его создателю вечную жизнь. Если Вы примете её условия, она обещает поделиться знаниями.\nНевозможно знать наверняка, говорит ли она правду, но выглядит очень старой. Значит ли это, что она бессмертна?;x
EVTDSC_RIP_21019_INTRIGUE_B;Весьма необычная старая женщина представилась Вам, как [From.GetFirstName]. По крайней мере Вам так показалось, её трудно понять из-за иностранного акцента. Она утверждает, что обладает тайным знанием трансмутации и может превращать металлы в золото, но, что более важно, она рассказала Вам о загадочном Философском камне. Если Вы правильно поняли её слова, он якобы дарует вечную жизнь тому, кто его изготовит.\nВ обычных обстоятельствах, Вы бы не стали доверять словам такой женщины. Выглядит она очень старой... Но бессмертна ли она?;x
EVTNAME_RIP_21300;Испытание тела;x
EVTDSC_RIP_21300;[From.GetFirstName] объяснил[From.GetEndA], что Вам нужно обрести нечто, известное как Tria Prima - Три Начала, первым из которых является соль. Вы сказали слуге отправиться на кухню и принести соль, но она остановила Вас и пояснила: "Искусство алхимии вовсе не в сборе ингредиентов. Вы же хотите созать Философский камень? Тогда слушайте внимательно...".\nСтаруха настояла на том, что для обретения соли, Вы должны укротить своё тело, упражняясь в карманных кражах. Вам никогда не приходилось этим заниматься, но это ведь не сложно, да?;x
EVTOPTA_RIP_21300;Обучи меня, о мудрая!;x
EVTOPTB_RIP_21300;Я долж[Root.GetNaEn] сделать это сам[Root.GetEndA].;x
EVTOPTB_RIP_21300_TOOLTIP;Попытаться научиться карманным кражам.;x
EVTOPTC_RIP_21300;Это проверка, да? Я не стану воровать!;x
EVTOPTC_RIP_21300_TOOLTIP;Отказаться от испытания. §Y[From.GetFirstName]§! покинет Ваш двор. ;x
EVTDSC_RIP_21302;Наступил первый день испытания. Вы оделись, как грязн[Root.GetAyaYy] простолюдин[Root.GetEndKa], оставив стражу далеко позади. Какое странное чувство, гулять по людной рыночной площади, будучи обычным человеком. Никто не пропускает Вас вперёд, напротив ругаются, если Вы замешкаетесь и загородите им путь. Чувствуя смущение, Вы решили взяться за дело.\nКонечно, с таким настроением, Ваша неуклюжая попытка сорвалась. Спустя мгновения стража торговца пряностями уже скрутила Вас. "Не смейте! Я - [Root.GetTitledFirstName]!" — закричали Вы. "Да-да, а я - Папа Римский.", — ответил торговец и добавил: "Покажите этой швали, что мы делаем с ворами".;x
EVTNAME_RIP_21302;Bстреча с Творцом;x
EVTOPTA_RIP_21302;Я - [Root.GetTitle]! Уберите руки!;x
EVTOPTA_RIP_21302_TOOLTIP;Вы провалили испытание, §Y[From.GetFirstName]§! покинула Ваш двор. ;x
EVTNAME_RIP_21304;Ловкие пальцы;x
